Simulation run,Robot count,Picker count,Robot/Picker ratio,Total assist time (sec),Picker assist time(%),Picker move time (sec),Picker move time (%),Picker distance traveled (m),Picker wait time (sec),Picker wait time (%),Robot total operation  time (sec),Robot assist time (%),Robot move time (sec),Robot move time (%),Robot distance traveled (m),Robot wait time (sec),Robot wait time (%),Robot total time queuing (sec),Robot time queuing percentage,Robot total time waiting in traffic (sec),Robot total time waiting in traffic (perc),Robot get pallet time (sec),Robot drop pallet time (sec),Robot get/drop pallet time percentage,Robot Time spent waiting for locations to open (sec),Robot Time spent waiting for locations to open (perc),Orders handled,Simulation duration,Realtime duration,Robot price,Robot price (full day),Picker price,Total Price,Savings percentage,Throughput factor,,Robot price/day,Picker price/day(24h),Current number of pickers/per day,Estimated current price ,current duration
33,25,19,1.315789474,137960,15.97%,343412.1914,39.75%,448662.8991,382592.374,44.28%,1129944.85,12.21%,755423.6714,67.26%,544981.0878,129738.7931,11.48%,21924.05596,2.88%,19288.20287,2.54%,51132.44865,51148.74478,9.05%,4541.191603,0.60%,936,12:48:21,0:19:33,6669.70,12500.00,10644.85,17314.55,17.55,1.87,,,,,,
34,25,20,1.25,137960,15.35%,355704.9656,39.57%,467310.7107,405148.5357,45.08%,1115625.013,12.37%,754767.6313,67.94%,542962.4972,117434.4073,10.53%,22612.76176,2.98%,19127.49891,2.52%,51134.66619,51142.72193,9.17%,3185.586768,0.42%,936,12:38:56,00:19:39,6587.96,12500.00,11067.78,17655.74,15.93,1.90,,,,,,
35,25,25,1,137960,12.44%,460511.0262,41.52%,618641.2228,510576.2838,46.04%,1100053.79,12.54%,759669.038,69.40%,543673.4604,96340.97597,8.76%,24605.73568,3.22%,19443.44909,2.55%,51135.63979,51142.22476,9.30%,3805.911207,0.50%,936,12:27:52,00:22:42,6491.90,12500.00,13632.99,20124.88,4.17,1.93,,,,,,
36,30,5,6,137960,35.90%,158395.2943,41.21%,189982.5008,87967.92477,22.89%,2345753.902,5.88%,761182.1854,33.54%,554403.5743,1318751.77,56.22%,19821.09748,2.52%,12323.99012,1.57%,51177.76986,51186.78385,4.36%,25495.39266,3.24%,936,21:59:04,00:15:45,13740.28,15000.00,4809.10,18549.38,11.67,1.09,,,,,,
37,30,10,3,137960,27.87%,200600.0476,40.52%,246284.2145,156485.911,31.61%,1492605.392,9.24%,781403.4221,52.89%,565363.3221,462887.1618,31.01%,23111.29967,2.93%,17346.11489,2.20%,51151.72309,51149.6427,6.85%,8053.441983,1.02%,936,14:02:59,00:16:33,8781.08,15000.00,6146.75,14927.83,28.92,1.71,,,,,,
38,30,15,2,137960,21.51%,249774.671,38.94%,313841.2647,253721.0499,39.55%,1280572.083,10.77%,787502.3325,62.14%,559394.6489,244573.5,19.10%,29127.42178,3.66%,21642.55693,2.72%,51130.50965,51124.32861,7.99%,8281.412524,1.04%,936,12:04:12,00:17:20,7543.75,15000.00,7920.94,15464.69,26.36,1.99,,,,,,
39,30,17,1.764705882,137960,19.03%,267367.6334,36.88%,338416.3937,319644.0424,44.09%,1274503.522,10.82%,804578.8952,63.80%,572373.3677,221111.0153,17.35%,27490.11649,3.38%,22005.71007,2.71%,51119.69312,51124.53887,8.02%,8609.379968,1.06%,936,12:00:57,00:17:50,7509.90,15000.00,8936.78,16446.67,21.68,2.00,,,,,,
40,30,19,1.578947368,137960,17.90%,282968.7026,36.71%,361077.6619,349974.631,45.40%,1210975.591,11.39%,794516.1311,66.02%,562743.1135,171316.1754,14.15%,27607.86684,3.45%,22661.6647,2.83%,51126.11071,51130.21838,8.44%,4926.955903,0.62%,936,11:25:11,00:18:07,7137.33,15000.00,9492.64,16629.97,20.81,2.10,,,,,,
41,30,20,1.5,137960,16.90%,295186.4367,36.16%,377661.4913,383275.7611,46.95%,1217832.947,11.33%,804057.8013,66.46%,568361.8609,168205.4183,13.81%,29741.26413,3.67%,22963.91661,2.84%,51115.44794,51129.53682,8.40%,5364.743046,0.66%,936,11:28:57,00:18:36,7176.56,15000.00,10047.19,17223.75,17.98,2.09,,,,,,
42,30,25,1.2,137960,14.19%,358210.8974,36.84%,469747.0675,476162.2434,48.97%,1158556.266,11.91%,802185.2077,69.85%,566765.8495,109047.9587,9.41%,28883.8509,3.57%,23556.57985,2.91%,51111.69319,51134.1121,8.83%,7117.29419,0.88%,936,10:55:20,00:20:03,6826.39,15000.00,11946.18,18772.57,10.61,2.20,,,,,,
43,35,5,7,137960,37.12%,151911.0695,40.87%,180519.4314,81779.35223,22.00%,2650894.304,5.20%,778690.0756,30.45%,565148.2624,1603410.576,60.49%,20940.82878,2.59%,13822.92534,1.71%,51172.83932,51172.92445,3.86%,28487.88874,3.53%,936,21:16:01,00:16:07,15507.15,17500.00,4652.14,20159.29,4.00,1.13,,,,,,
44,35,10,3.5,137960,29.46%,187479.304,40.03%,227194.4072,142868.0843,30.51%,1647487.618,8.37%,824366.8025,50.61%,586976.8712,573464.1904,34.81%,28579.30366,3.43%,20554.17024,2.47%,51126.25722,51144.80374,6.21%,9425.564122,1.13%,936,13:16:54,00:16:33,9684.55,17500.00,5810.73,15495.28,26.21,1.81,,,,,,
45,35,15,2.333333333,137960,23.07%,229383.0269,38.36%,284444.8105,230636.435,38.57%,1394132.995,9.90%,832895.0472,60.26%,585329.8173,313814.8753,22.51%,33664.97489,4.01%,24102.92107,2.87%,51111.64575,51124.35067,7.33%,7227.076149,0.86%,936,11:14:40,00:17:24,8199.07,17500.00,7379.17,15578.24,25.82,2.13,,,,,,
46,35,17,2.058823529,137960,20.98%,249334.11,37.91%,311524.1477,270392.1206,41.11%,1350307.706,10.22%,838471.4341,62.75%,584224.7775,262813.1566,19.46%,35416.75434,4.18%,24706.93195,2.92%,51109.31001,51115.09714,7.57%,8838.708199,1.04%,936,10:53:36,00:17:59,7943.06,17500.00,8101.92,16044.97,23.60,2.20,,,,,,
